complaint_id,road_segment_id,complaint_date,complaint_time,latitude,longitude,location_description,complaint_text,language,damage_type,severity,traffic_impact,safety_risk,vehicle_accident_reported,pedestrian_risk,two_wheeler_risk,emergency_route,status,assigned_department,resolution_date,resolution_type,photo_path,submission_channel
CMP_000039,RD_00991,24-07-2026,18:02,13.01011,80.208626,Near Porur,Road condition is worsening at this location,Tamil,Missing_Manhole_Cover,Low,Low,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000040,RD_00841,26-07-2026,20:38,12.962765,80.20155,Near Thoraipakkam,Unsafe road condition reported by residents,English,Damaged_Median,High,High,,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000041,RD_00483,16-03-2026,14:07,13.079914,80.166627,Near Mylapore,Poor restoration after road cutting has created a depression,Tamil,Poor_Restoration,Medium,Medium,Low,No,No,No,Yes,Open,GCC Roads,,,,legacy_record
CMP_000042,RD_00608,16-08-2026,16:26,13.026271,80.154635,Near Saidapet,Water remains on the road after rainfall,Tamil-English,Waterlogging,Medium,,Low,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000043,RD_00478,02-06-2026,18:27,13.035208,80.296541,Near Medavakkam,Road surface is damaged and needs attention,Tamil-English,Construction_Debris,High,Medium,Medium,No,No,No,Yes,Resolved,GCC Roads,07-06-2026,Resurfacing,,legacy_record
CMP_000044,RD_00734,05-05-2026,18:57,12.965165,80.185819,Near Taramani,Road defect requires inspection and repair,Tamil-English,Damaged_Manhole,Medium,Severe,Medium,No,No,Yes,No,Open,GCC Roads,,,,legacy_record
CMP_000045,RD_00954,12-01-2026,08:06,12.945753,80.290915,Near Maduravoyal,Unsafe road condition reported by residents,Tamil-English,Obstruction,High,High,High,No,No,Yes,No,Resolved,GCC Roads,25-01-2026,Resurfacing,,legacy_record
CMP_000046,RD_00263,15-06-2026,12:01,13.052658,80.203388,Near Adyar,Road has been dug up for utility work,Tamil-English,Utility_Excavation,High,High,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000047,RD_00591,16-06-2026,02:40,13.01895,80.280142,Near Porur,Road condition is worsening at this location,Tamil-English,Subsidence,High,Severe,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000048,RD_00104,31-03-2026,01:04,13.041923,80.270585,Near Medavakkam,Damaged section is affecting normal traffic,Tamil,Subsidence,Low,Medium,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000049,RD_00541,07-08-2026,21:18,13.094206,80.17041,Near Adyar,Road defect requires inspection and repair,Tamil-English,Damaged_Curb,Medium,High,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000050,RD_00586,12-07-2026,15:26,12.9359,80.170597,Near Perungudi,Road condition is worsening at this location,English,Construction_Debris,Critical,High,High,No,No,No,No,Resolved,GCC Roads,27-07-2026,Resurfacing,,legacy_record
CMP_000051,RD_00140,09-01-2026,22:57,12.960036,80.185029,Near Adambakkam,Road surface is damaged and needs attention,Tamil-English,Broken_Streetlight,Low,Low,Low,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000052,RD_00112,28-08-2026,07:29,12.996941,80.18985,Near Mylapore,Water remains on the road after rainfall,Tamil,Waterlogging,Low,Low,High,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000053,RD_00230,21-03-2026,14:14,13.028578,80.214877,Near Perungudi,Road condition is worsening at this location,English,Road_Work_Incomplete,High,Low,Medium,No,Yes,No,No,Resolved,GCC Roads,05-04-2026,Resurfacing,,legacy_record
CMP_000054,RD_00090,03-01-2026,22:11,12.901948,80.162895,Near Ambattur,Road cut has not been properly restored after utility work,English,Unrestored_Road_Cut,Low,Medium,Low,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000055,RD_00854,13-03-2026,06:14,12.949776,80.197898,Near Besant Nagar,Road condition is worsening at this location,Tamil,Road_Work_Incomplete,High,Severe,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000056,RD_00862,08-01-2026,17:20,12.911744,80.190882,Near T Nagar,Drain is blocked and water is entering the road,English,Drainage_Failure,Low,High,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000057,RD_00127,30-01-2026,23:15,12.977621,80.218141,Near Thoraipakkam,Large road hole creating a safety risk for motorists,English,Pothole,Critical,Medium,Low,No,Yes,No,No,Resolved,GCC Roads,01-02-2026,Pothole filling,,legacy_record
CMP_000058,RD_00622,26-03-2026,15:58,13.050385,80.229405,Near Taramani,Recently restored road surface has deteriorated again,English,Poor_Restoration,Medium,Low,High,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000059,RD_00718,29-08-2026,03:25,12.970136,80.178447,Near Adyar,Road condition is worsening at this location,English,Road_Work_Incomplete,Low,High,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000060,RD_00683,14-08-2026,20:59,12.962437,80.157617,Near Nungambakkam,Damaged section is affecting normal traffic,English,Road_Work_Incomplete,Medium,High,High,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000061,RD_00700,01-08-2026,20:47,13.130858,80.285552,Near Anna Nagar,Road surface is damaged and needs attention,Tamil,Damaged_Curb,Medium,High,,No,No,No,No,Resolved,GCC Roads,30-08-2026,Resurfacing,,legacy_record
CMP_000062,RD_00385,11-04-2026,00:36,13.041887,80.248852,Near Maduravoyal,Road defect requires inspection and repair,English,Damaged_Footpath,Medium,Low,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000063,RD_00340,24-05-2026,21:20,12.986845,80.252128,Near Ambattur,Road condition is worsening at this location,English,Road_Surface_Deterioration,Medium,Medium,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000064,RD_00136,14-03-2026,07:45,13.028701,80.23908,Near Maduravoyal,Road defect requires inspection and repair,English,Road_Collapse,High,Severe,Critical,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000065,RD_00553,08-05-2026,03:04,13.140581,80.216789,Near Adambakkam,Road condition is worsening at this location,English,Road_Surface_Deterioration,High,Medium,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000066,RD_00409,30-01-2026,05:53,12.961194,80.297096,Near Thoraipakkam,Road surface is damaged and needs attention,English,Broken_Streetlight,Medium,High,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000067,RD_00852,23-03-2026,05:17,13.096742,80.219206,Near T Nagar,Road surface is damaged and needs attention,Tamil-English,Rutting,High,High,Medium,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000068,RD_00835,22-08-2026,03:09,13.096167,80.295258,Near Mylapore,Drainage problem causing water accumulation,English,Drainage_Failure,Medium,Low,,No,No,No,No,Resolved,GCC Roads,24-08-2026,Resurfacing,,legacy_record
CMP_000069,RD_00143,20-07-2026,19:44,12.913883,80.245661,Near Guindy,Drainage problem causing water accumulation,Tamil,Drainage_Failure,Low,High,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000070,RD_00623,11-05-2026,10:17,13.072198,80.281522,Near Porur,Unsafe road condition reported by residents,English,Missing_Road_Marking,Critical,Medium,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000071,RD_00720,23-04-2026,07:39,13.066939,80.193085,Near Adambakkam,Road condition is worsening at this location,Tamil-English,Faded_Road_Marking,Medium,Severe,Medium,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000072,RD_00450,03-07-2026,15:10,13.003505,80.248038,Near Mogappair,Damaged section is affecting normal traffic,English,Road_Collapse,Medium,High,Medium,No,No,No,No,Resolved,GCC Roads,31-07-2026,Resurfacing,,legacy_record
CMP_000073,RD_00420,05-03-2026,03:49,13.148873,80.258675,Near Taramani,Damaged section is affecting normal traffic,Tamil-English,Alligator_Cracking,High,High,,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000074,RD_00872,09-03-2026,18:08,12.922201,80.208527,Near Medavakkam,Damaged section is affecting normal traffic,Tamil-English,Road_Surface_Deterioration,High,High,Low,No,No,No,No,Resolved,GCC Roads,01-04-2026,Resurfacing,,legacy_record
CMP_000075,RD_00441,17-06-2026,13:01,13.146312,80.163409,Near Saidapet,Road condition is worsening at this location,English,Damaged_Median,High,Medium,Medium,No,No,No,No,Resolved,GCC Roads,28-06-2026,Resurfacing,,legacy_record
CMP_000076,RD_00955,15-08-2026,07:50,12.97868,80.21925,Near Guindy,Road defect requires inspection and repair,Tamil,Obstruction,High,High,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000077,RD_00290,11-06-2026,19:17,13.058807,80.16347,Near Pallikaranai,Road condition is worsening at this location,Tamil,Construction_Debris,Low,Medium,High,No,No,No,No,Resolved,GCC Roads,17-06-2026,Resurfacing,,legacy_record
CMP_000078,RD_00116,07-01-2026,10:24,13.05473,80.262621,Near Besant Nagar,Road defect requires inspection and repair,Tamil-English,Missing_Road_Marking,Critical,Low,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000079,RD_00507,16-05-2026,05:30,13.140872,80.231027,Near Porur,Unsafe road condition reported by residents,English,Road_Collapse,High,Severe,Critical,No,No,Yes,No,Open,GCC Roads,,,,legacy_record
CMP_000080,RD_00319,06-07-2026,08:19,13.082376,80.240842,Near Mylapore,Utility trench restoration is damaged and unsafe,English,Unrestored_Road_Cut,High,Medium,Medium,No,No,No,No,Resolved,GCC Roads,31-07-2026,Resurfacing,,legacy_record
CMP_000081,RD_00144,10-03-2026,01:30,13.14252,80.150672,Near Shenoy Nagar,Long cracks visible across the road surface,English,Crack,Medium,High,,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000082,RD_00455,20-07-2026,01:05,12.901146,80.258125,Near T Nagar,Severe waterlogging affecting traffic movement,Tamil,Waterlogging,High,Low,High,No,No,No,No,Resolved,GCC Roads,11-08-2026,Resurfacing,,legacy_record
CMP_000083,RD_00338,13-02-2026,03:10,12.917255,80.205437,Near Nungambakkam,Cracks spreading along the lane,Tamil-English,Crack,Medium,Severe,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000084,RD_00976,20-08-2026,06:15,12.935603,80.15368,Near Maduravoyal,Road surface is damaged and needs attention,Tamil,Broken_Streetlight,Medium,High,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000085,RD_00349,18-05-2026,03:23,12.906049,80.204057,Near Porur,Utility excavation is obstructing the road,English,Utility_Excavation,Medium,Medium,Medium,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000086,RD_00213,24-01-2026,11:49,12.949941,80.177267,Near Guindy,Road defect requires inspection and repair,Tamil-English,Damaged_Manhole,Low,Low,Medium,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000087,RD_00652,30-07-2026,04:19,13.035269,80.243915,Near Saidapet,Damaged section is affecting normal traffic,Tamil-English,Subsidence,Low,Medium,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000088,RD_00100,18-02-2026,20:57,13.101454,80.294707,Near Guindy,Utility excavation is obstructing the road,Tamil-English,Utility_Excavation,Medium,Severe,,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000089,RD_00531,01-05-2026,06:58,13.099933,80.261868,Near Besant Nagar,Damaged section is affecting normal traffic,Tamil-English,Obstruction,Medium,Medium,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000090,RD_00867,16-07-2026,15:22,12.927813,80.212419,Near T Nagar,Road defect requires inspection and repair,Tamil-English,Road_Work_Incomplete,Medium,Medium,Medium,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000091,RD_00306,10-02-2026,12:43,12.933384,80.280209,Near Saidapet,Damaged section is affecting normal traffic,Tamil-English,Other,Medium,Medium,High,Yes,No,No,No,Resolved,GCC Roads,11-03-2026,Resurfacing,,legacy_record
CMP_000092,RD_00922,22-05-2026,23:00,13.103789,80.155873,Near Taramani,Road surface is damaged and needs attention,Tamil,Missing_Road_Marking,High,Medium,,No,No,No,No,Resolved,GCC Roads,30-05-2026,Resurfacing,,legacy_record
CMP_000093,RD_00851,19-05-2026,01:16,13.009844,80.15894,Near Medavakkam,Road surface is damaged and needs attention,Tamil-English,Faded_Road_Marking,High,Medium,Medium,No,No,No,No,Resolved,GCC Roads,23-05-2026,Resurfacing,,legacy_record
CMP_000094,RD_00390,18-07-2026,12:28,13.019707,80.276699,Near Porur,Road condition is worsening at this location,English,Depression,Critical,Medium,Medium,No,No,No,Yes,Open,GCC Roads,,,,legacy_record
CMP_000095,RD_00838,19-08-2026,12:30,12.999425,80.200456,Near Besant Nagar,Road condition is worsening at this location,Tamil-English,Missing_Manhole_Cover,Low,High,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000096,RD_00186,24-01-2026,12:56,12.916755,80.294273,Near Adambakkam,Road condition is worsening at this location,Tamil,Uneven_Surface,High,Severe,Low,Yes,No,No,No,Resolved,GCC Roads,19-02-2026,Resurfacing,,legacy_record
CMP_000097,RD_00661,10-01-2026,04:42,13.071805,80.298624,Near Velachery,Damaged section is affecting normal traffic,English,Damaged_Median,High,,High,No,No,No,No,Resolved,GCC Roads,06-02-2026,Resurfacing,,legacy_record
CMP_000098,RD_00708,08-04-2026,19:26,12.915426,80.289723,Near Saidapet,Road surface is damaged and needs attention,English,Other,Critical,Medium,Low,No,No,No,No,Resolved,GCC Roads,15-04-2026,Resurfacing,,legacy_record
CMP_000099,RD_00627,01-02-2026,22:47,13.075378,80.24872,Near Maduravoyal,Road condition is worsening at this location,English,Road_Collapse,Medium,High,Critical,No,No,Yes,No,In Progress,GCC Roads,,,,legacy_record
CMP_000100,RD_00362,27-06-2026,10:11,12.985533,80.280102,Near Adambakkam,Road defect requires inspection and repair,Tamil,Obstruction,Low,Low,Low,No,No,Yes,No,Open,GCC Roads,,,,legacy_record
CMP_000101,RD_00933,16-01-2026,03:11,13.123474,80.210504,Near Porur,Road condition is worsening at this location,Tamil,Rutting,High,Medium,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000102,RD_00865,10-04-2026,10:37,12.966958,80.271108,Near T Nagar,Road defect requires inspection and repair,Tamil,Obstruction,High,Medium,Low,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000103,RD_00764,16-02-2026,19:06,13.129239,80.204779,Near Nungambakkam,Road condition is worsening at this location,Tamil-English,Damaged_Footpath,Medium,Medium,Medium,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000104,RD_00067,27-05-2026,23:01,12.962516,80.174022,Near Taramani,Road condition is worsening at this location,English,Damaged_Manhole,Medium,Low,High,No,No,No,No,Resolved,GCC Roads,23-06-2026,Resurfacing,,legacy_record
CMP_000105,RD_00857,16-08-2026,23:42,13.106418,80.23312,Near Mogappair,Drainage problem causing water accumulation,Tamil,Drainage_Failure,High,Medium,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000106,RD_00225,08-08-2026,17:16,13.143274,80.274137,Near Ambattur,Road surface is damaged and needs attention,English,Damaged_Median,Critical,Low,Low,No,No,No,No,In Progress,GCC Roads,,,,legacy_record
CMP_000107,RD_00709,06-04-2026,06:14,13.118657,80.232912,Near Shenoy Nagar,Damaged section is affecting normal traffic,English,Road_Collapse,Medium,High,Low,No,No,No,No,Resolved,GCC Roads,11-04-2026,Resurfacing,,legacy_record
CMP_000108,RD_00449,26-02-2026,11:20,13.071706,80.290949,Near Mylapore,Road drainage is not functioning properly,English,Drainage_Failure,High,Medium,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000109,RD_00629,07-06-2026,00:52,12.92021,80.152585,Near Maduravoyal,Road defect requires inspection and repair,Tamil,Missing_Road_Marking,High,High,High,No,No,No,No,Resolved,GCC Roads,19-06-2026,Resurfacing,,legacy_record
CMP_000110,RD_00764,16-05-2026,15:50,13.129042,80.20541,Near Nungambakkam,Road surface is damaged and needs attention,Tamil-English,Other,Medium,High,High,No,No,No,No,Resolved,GCC Roads,21-05-2026,Resurfacing,,legacy_record
CMP_000111,RD_00995,17-05-2026,14:17,12.932209,80.219175,Near Medavakkam,Road surface is damaged and needs attention,Tamil-English,Depression,Medium,Low,Critical,No,No,No,No,Resolved,GCC Roads,19-05-2026,Resurfacing,,legacy_record
CMP_000112,RD_00300,16-06-2026,23:48,12.905186,80.190199,Near Besant Nagar,Water remains on the road after rainfall,Tamil,Waterlogging,Medium,Severe,Low,No,No,No,Yes,Open,GCC Roads,,,,legacy_record
CMP_000113,RD_00772,21-05-2026,13:21,13.001079,80.207917,Near Shenoy Nagar,Road defect requires inspection and repair,English,Other,Medium,Medium,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000114,RD_00436,28-04-2026,17:51,12.973593,80.174343,Near Taramani,Unsafe road condition reported by residents,English,Damaged_Curb,High,Severe,Medium,No,No,No,No,Resolved,GCC Roads,02-05-2026,Resurfacing,,legacy_record
CMP_000115,RD_00404,24-04-2026,05:17,12.907218,80.237013,Near Maduravoyal,Unsafe road condition reported by residents,Tamil,Uneven_Surface,High,High,Low,No,No,No,Yes,Open,GCC Roads,,,,legacy_record
CMP_000116,RD_00403,21-01-2026,03:47,12.934128,80.185475,Near T Nagar,Road condition is worsening at this location,Tamil-English,Missing_Road_Marking,Medium,High,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000117,RD_00122,11-07-2026,03:56,12.939216,80.269675,Near T Nagar,Unsafe road condition reported by residents,Tamil-English,Alligator_Cracking,Medium,High,Medium,No,No,No,No,Resolved,GCC Roads,14-07-2026,Resurfacing,,legacy_record
CMP_000118,RD_00858,07-04-2026,19:47,13.079188,80.266992,Near Mogappair,Road defect requires inspection and repair,English,Obstruction,Medium,High,Medium,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000119,RD_00722,11-06-2026,11:04,13.030695,80.289576,Near Medavakkam,Damaged section is affecting normal traffic,English,Other,Medium,High,Low,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000120,RD_00295,11-06-2026,22:49,13.015449,80.163881,Near Velachery,Road surface is damaged and needs attention,Tamil-English,Obstruction,Medium,High,Medium,No,No,Yes,No,Open,GCC Roads,,,,legacy_record
CMP_000121,RD_00031,13-05-2026,06:31,13.001367,80.213812,Near Mogappair,Damaged section is affecting normal traffic,Tamil,Construction_Debris,High,Low,Medium,No,No,No,No,Resolved,GCC Roads,04-06-2026,Resurfacing,,legacy_record
CMP_000122,RD_00028,16-08-2026,12:06,13.025828,80.269665,Near T Nagar,Road surface is damaged and needs attention,Tamil,Damaged_Manhole,High,Low,High,No,No,No,No,Open,GCC Roads,,,,legacy_record
CMP_000123,RD_00828,11-02-2026,06:12,12.979389,80.286647,Near Taramani,Road surface is damaged and needs attention,English,Edge_Cracking,Low,Low,Critical,No,No,No,No,Open,GCC Roads,,,,legacy_record
