event_id,road_segment_id,event_date,event_type,department,contractor,work_description,work_status,start_date,completion_date,reference_number,estimated_cost,road_cutting,restoration_required,restoration_completed,notes
EVT_000087,RD_00921,23-02-2026,Road_Repair,GCC Roads,Contractor_29,Pothole filling,Completed,23-02-2026,09-03-2026,GCC/ROAD/2026/2153,121729,No,No,N/A,Synthetic prototype intervention record
EVT_000088,RD_00997,07-04-2026,Utility_Excavation,Telecom Utility,Contractor_11,Road resurfacing,Completed,07-04-2026,20-04-2026,GCC/ROAD/2026/9021,179837,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000089,RD_00070,24-02-2026,Resurfacing,GCC Roads,Contractor_22,Emergency road repair,Completed,24-02-2026,06-03-2026,GCC/ROAD/2026/4804,704645,No,No,N/A,Synthetic prototype intervention record
EVT_000090,RD_00719,29-01-2026,Resurfacing,GCC Roads,Contractor_23,Pothole filling,Completed,29-01-2026,03-02-2026,GCC/ROAD/2026/4997,364861,No,No,N/A,Synthetic prototype intervention record
EVT_000091,RD_00801,23-06-2026,Drainage_Work,TANGEDCO,Contractor_12,Emergency road repair,Completed,23-06-2026,03-07-2026,GCC/ROAD/2026/6913,36227,No,No,N/A,Synthetic prototype intervention record
EVT_000092,RD_00277,22-06-2026,Pothole_Repair,GCC Roads,Contractor_26,Drainage maintenance,Completed,22-06-2026,29-06-2026,GCC/ROAD/2026/1227,491022,No,No,N/A,Synthetic prototype intervention record
EVT_000093,RD_00712,09-02-2026,Resurfacing,GCC Roads,Contractor_19,Road resurfacing,Completed,09-02-2026,12-02-2026,GCC/ROAD/2026/6546,403364,No,No,N/A,Synthetic prototype intervention record
EVT_000094,RD_00889,09-06-2026,Road_Repair,GCC Roads,Contractor_23,Road resurfacing,Completed,09-06-2026,15-06-2026,GCC/ROAD/2026/4512,662012,No,No,N/A,Synthetic prototype intervention record
EVT_000095,RD_00375,18-03-2026,Utility_Work,Other Utility Agency,Contractor_08,Surface repair and maintenance,Completed,18-03-2026,27-03-2026,GCC/ROAD/2026/4620,514032,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000096,RD_00848,01-06-2026,Road_Restoration,Other Utility Agency,Contractor_08,Emergency road repair,Completed,01-06-2026,04-06-2026,GCC/ROAD/2026/4686,614852,No,No,N/A,Synthetic prototype intervention record
EVT_000097,RD_00994,07-03-2026,Emergency_Repair,GCC Roads,Contractor_27,Utility excavation and restoration,Completed,07-03-2026,13-03-2026,GCC/ROAD/2026/9750,746061,No,No,N/A,Synthetic prototype intervention record
EVT_000098,RD_00106,01-07-2026,Utility_Work,TANGEDCO,Contractor_15,Drainage maintenance,Completed,01-07-2026,05-07-2026,GCC/ROAD/2026/3607,348777,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000099,RD_00484,15-03-2026,Road_Repair,GCC Roads,Contractor_06,Utility excavation and restoration,Completed,15-03-2026,28-03-2026,GCC/ROAD/2026/9893,314279,No,No,N/A,Synthetic prototype intervention record
EVT_000100,RD_00684,01-01-2026,Road_Repair,GCC Roads,Contractor_26,Drainage maintenance,Completed,01-01-2026,13-01-2026,GCC/ROAD/2026/8574,610777,No,No,N/A,Synthetic prototype intervention record
EVT_000101,RD_00838,21-01-2026,Road_Cutting,TANGEDCO,Contractor_11,Pothole filling,Completed,21-01-2026,01-02-2026,GCC/ROAD/2026/4858,582483,Yes,Yes,No,Synthetic prototype intervention record
EVT_000102,RD_00300,01-01-2026,Utility_Work,Telecom Utility,Contractor_15,Drainage maintenance,Completed,01-01-2026,10-01-2026,GCC/ROAD/2026/1362,400201,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000103,RD_00579,12-08-2026,Pothole_Repair,GCC Roads,Contractor_02,Surface repair and maintenance,Completed,12-08-2026,25-08-2026,GCC/ROAD/2026/3006,120492,No,No,N/A,Synthetic prototype intervention record
EVT_000104,RD_00504,05-04-2026,Utility_Excavation,Other Utility Agency,Contractor_17,Pothole filling,Completed,05-04-2026,14-04-2026,GCC/ROAD/2026/9445,524343,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000105,RD_00506,27-01-2026,Road_Repair,GCC Roads,Contractor_02,Pothole filling,Completed,27-01-2026,01-02-2026,GCC/ROAD/2026/1806,175865,No,No,N/A,Synthetic prototype intervention record
EVT_000106,RD_00467,14-08-2026,Construction,Other Utility Agency,Contractor_10,Emergency road repair,Completed,14-08-2026,21-08-2026,GCC/ROAD/2026/6573,685066,No,No,N/A,Synthetic prototype intervention record
EVT_000107,RD_00211,15-02-2026,Pothole_Repair,GCC Roads,Contractor_27,Drainage maintenance,Completed,15-02-2026,28-02-2026,GCC/ROAD/2026/4103,84158,No,No,N/A,Synthetic prototype intervention record
EVT_000108,RD_00821,12-01-2026,Emergency_Repair,GCC Roads,Contractor_08,Road resurfacing,Completed,12-01-2026,18-01-2026,GCC/ROAD/2026/8839,219107,No,No,N/A,Synthetic prototype intervention record
EVT_000109,RD_00632,19-08-2026,Road_Cutting,Other Utility Agency,Contractor_05,Drainage maintenance,Completed,19-08-2026,30-08-2026,GCC/ROAD/2026/4921,63691,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000110,RD_00182,25-07-2026,Road_Repair,GCC Roads,Contractor_06,Utility excavation and restoration,Completed,25-07-2026,31-07-2026,GCC/ROAD/2026/8981,72917,No,No,N/A,Synthetic prototype intervention record
EVT_000111,RD_00467,13-08-2026,Drainage_Work,Telecom Utility,Contractor_06,Emergency road repair,Completed,13-08-2026,15-08-2026,GCC/ROAD/2026/5184,723467,No,No,N/A,Synthetic prototype intervention record
EVT_000112,RD_00271,23-01-2026,Road_Restoration,Other Utility Agency,Contractor_07,Surface repair and maintenance,Completed,23-01-2026,05-02-2026,GCC/ROAD/2026/8685,309600,No,No,N/A,Synthetic prototype intervention record
EVT_000113,RD_00681,14-01-2026,Road_Restoration,TANGEDCO,Contractor_09,Drainage maintenance,Completed,14-01-2026,24-01-2026,GCC/ROAD/2026/8601,472629,No,No,N/A,Synthetic prototype intervention record
EVT_000114,RD_00654,02-09-2026,Drainage_Work,Telecom Utility,Contractor_09,Drainage maintenance,Completed,02-09-2026,08-09-2026,GCC/ROAD/2026/8167,297872,No,No,N/A,Synthetic prototype intervention record
EVT_000115,RD_00774,17-01-2026,Utility_Excavation,Chennai Metro Water,Contractor_27,Drainage maintenance,Completed,17-01-2026,21-01-2026,GCC/ROAD/2026/4650,274199,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000116,RD_00850,01-07-2026,Resurfacing,GCC Roads,Contractor_19,Utility excavation and restoration,Completed,01-07-2026,03-07-2026,GCC/ROAD/2026/2105,246469,No,No,N/A,Synthetic prototype intervention record
EVT_000117,RD_00782,20-02-2026,Pothole_Repair,GCC Roads,Contractor_01,Road resurfacing,Completed,20-02-2026,03-03-2026,GCC/ROAD/2026/3579,211440,No,No,N/A,Synthetic prototype intervention record
EVT_000118,RD_00507,16-07-2026,Emergency_Repair,GCC Roads,Contractor_02,Drainage maintenance,Completed,16-07-2026,25-07-2026,GCC/ROAD/2026/4349,169146,No,No,N/A,Synthetic prototype intervention record
EVT_000119,RD_00931,18-08-2026,Utility_Excavation,Telecom Utility,Contractor_17,Emergency road repair,Completed,18-08-2026,01-09-2026,GCC/ROAD/2026/2584,271259,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000120,RD_00620,05-08-2026,Road_Repair,GCC Roads,Contractor_03,Utility excavation and restoration,Completed,05-08-2026,08-08-2026,GCC/ROAD/2026/9170,465290,No,No,N/A,Synthetic prototype intervention record
EVT_000121,RD_00393,27-03-2026,Road_Repair,GCC Roads,Contractor_16,Utility excavation and restoration,Completed,27-03-2026,31-03-2026,GCC/ROAD/2026/2371,99778,No,No,N/A,Synthetic prototype intervention record
EVT_000122,RD_00542,22-03-2026,Road_Repair,GCC Roads,Contractor_06,Drainage maintenance,Completed,22-03-2026,23-03-2026,GCC/ROAD/2026/9801,143572,No,No,N/A,Synthetic prototype intervention record
EVT_000123,RD_00770,11-04-2026,Utility_Work,Other Utility Agency,Contractor_08,Pothole filling,Completed,11-04-2026,22-04-2026,GCC/ROAD/2026/6660,247443,Yes,Yes,Yes,Synthetic prototype intervention record
EVT_000124,RD_00027,30-07-2026,Road_Repair,GCC Roads,Contractor_05,Pothole filling,Completed,30-07-2026,10-08-2026,GCC/ROAD/2026/3855,297090,No,No,N/A,Synthetic prototype intervention record
EVT_000125,RD_00023,23-01-2026,Drainage_Work,Chennai Metro Water,Contractor_20,Pothole filling,Completed,23-01-2026,24-01-2026,GCC/ROAD/2026/3852,442649,No,No,N/A,Synthetic prototype intervention record
EVT_000126,RD_00266,02-05-2026,Road_Restoration,Other Utility Agency,Contractor_13,Road resurfacing,Completed,02-05-2026,03-05-2026,GCC/ROAD/2026/1955,567300,No,No,N/A,Synthetic prototype intervention record
